id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
2305,Female,75,1,36,0,1-2 Year,Yes,44113,72,44,1
2306,Male,79,1,16,0,< 1 Year,Yes,49237,72,23,1
2307,Male,61,1,41,1,1-2 Year,Yes,50507,26,278,0
2308,Female,65,0,21,0,> 2 Years,Yes,40804,90,173,0
2309,Male,21,1,28,0,< 1 Year,Yes,20222,43,22,1
2310,Male,54,1,10,1,1-2 Year,No,58493,49,39,0
2311,Male,25,1,19,1,< 1 Year,Yes,41267,71,297,1
2312,Female,18,1,17,1,< 1 Year,No,52806,106,56,0
2313,Male,45,1,1,1,1-2 Year,Yes,53538,55,124,1
2314,Female,23,1,13,1,< 1 Year,No,31166,113,35,0
2315,Female,64,1,36,1,> 2 Years,Yes,23334,18,272,1
2316,Male,53,0,47,1,1-2 Year,Yes,55200,123,146,0
2317,Male,70,1,42,1,< 1 Year,Yes,58298,29,22,1
2318,Male,28,1,20,0,1-2 Year,Yes,32869,84,9,1
2319,Male,22,1,41,1,< 1 Year,No,41971,31,70,0
2320,Male,67,1,40,1,< 1 Year,Yes,53978,136,18,0
2321,Female,41,1,6,1,< 1 Year,Yes,26401,43,244,1
2322,Female,64,1,23,1,< 1 Year,No,53531,136,237,0
2323,Female,35,1,42,1,> 2 Years,Yes,20351,125,192,1
2324,Male,37,1,24,1,> 2 Years,No,50202,9,225,0
2325,Female,45,1,49,1,1-2 Year,Yes,28467,78,294,1
2326,Female,30,1,5,0,> 2 Years,No,56323,33,51,1
2327,Female,22,1,32,0,1-2 Year,Yes,28474,58,278,1
2328,Male,47,1,46,1,< 1 Year,Yes,29910,79,184,1
2329,Female,18,1,17,1,1-2 Year,Yes,53086,94,108,1
2330,Male,39,1,11,0,1-2 Year,No,44106,159,29,1
2331,Male,35,1,27,1,< 1 Year,Yes,49139,83,183,1
2332,Male,63,0,4,1,> 2 Years,Yes,24470,48,121,0
2333,Female,22,1,23,0,> 2 Years,Yes,47837,106,80,1
2334,Female,48,0,23,1,> 2 Years,Yes,49769,139,164,1
2335,Male,23,1,49,1,< 1 Year,Yes,54494,128,32,0
2336,Male,44,1,34,1,< 1 Year,No,57013,74,224,0
2337,Male,73,1,21,1,< 1 Year,Yes,55931,112,270,1
2338,Male,42,1,22,0,> 2 Years,Yes,26795,128,212,1
2339,Male,46,1,1,1,> 2 Years,No,26758,100,274,1
2340,Male,45,1,32,1,> 2 Years,No,24809,88,198,1
2341,Female,33,1,28,1,1-2 Year,Yes,53007,15,224,0
2342,Male,71,1,18,0,1-2 Year,Yes,36994,29,137,1
2343,Male,70,1,7,1,< 1 Year,No,32523,155,282,0
2344,Male,29,0,38,1,> 2 Years,Yes,51975,20,115,0
2345,Female,37,1,6,0,> 2 Years,Yes,36612,14,106,1
2346,Female,35,1,14,1,1-2 Year,Yes,25008,37,275,1
2347,Female,51,1,30,0,1-2 Year,Yes,59642,101,130,1
2348,Male,72,1,44,1,> 2 Years,No,45884,49,284,0
2349,Male,70,1,46,1,< 1 Year,Yes,47865,15,112,0
2350,Male,40,1,14,1,> 2 Years,Yes,21352,5,212,0
2351,Female,62,1,44,1,1-2 Year,No,39634,97,206,0
2352,Female,44,1,41,1,1-2 Year,No,53689,45,196,0
2353,Female,66,0,9,1,> 2 Years,Yes,49920,129,229,0
2354,Female,34,1,31,0,> 2 Years,Yes,20735,47,298,1
2355,Female,65,1,2,1,< 1 Year,No,39786,34,286,1
2356,Male,38,1,18,1,> 2 Years,Yes,42279,136,274,0
2357,Female,67,1,5,0,> 2 Years,Yes,58611,54,125,1
2358,Male,57,1,26,0,1-2 Year,Yes,30388,87,137,1
2359,Male,79,1,23,1,1-2 Year,No,23363,60,263,1
2360,Male,48,1,12,0,1-2 Year,No,48380,37,207,1
2361,Male,20,1,14,0,1-2 Year,Yes,21177,18,113,1
2362,Male,34,1,13,1,> 2 Years,No,46403,10,133,1
2363,Male,78,1,35,1,< 1 Year,No,23045,68,43,1
2364,Male,67,1,47,1,< 1 Year,No,48328,86,102,1
2365,Male,75,1,15,0,> 2 Years,No,53098,107,214,0
2366,Male,43,1,35,1,< 1 Year,No,42443,76,87,1
2367,Male,40,1,19,1,> 2 Years,Yes,20467,152,141,0
2368,Male,23,1,15,1,< 1 Year,Yes,38135,47,258,1
2369,Male,45,1,8,0,> 2 Years,No,37070,37,150,1
2370,Female,25,1,23,1,> 2 Years,No,24264,43,253,1
2371,Female,72,1,13,1,> 2 Years,No,46297,25,188,1
2372,Female,79,1,23,1,> 2 Years,Yes,28129,87,139,1
2373,Female,75,1,31,1,< 1 Year,Yes,52080,146,117,1
2374,Male,62,1,30,0,1-2 Year,Yes,46353,46,277,0
2375,Female,25,1,42,1,> 2 Years,No,23257,78,210,0
2376,Male,36,1,2,1,> 2 Years,Yes,26874,112,194,1
2377,Male,55,1,11,1,< 1 Year,No,25441,86,53,1
2378,Female,46,1,25,0,> 2 Years,Yes,28445,79,221,1
2379,Male,40,1,29,1,< 1 Year,Yes,49517,5,150,0
2380,Female,64,1,22,1,> 2 Years,Yes,20026,113,280,1
2381,Female,49,1,19,1,1-2 Year,Yes,51025,133,194,1
2382,Female,27,1,9,1,1-2 Year,No,55386,121,154,1
2383,Female,44,1,41,0,1-2 Year,No,30595,42,199,1
2384,Male,66,1,38,1,< 1 Year,Yes,53754,147,293,0
2385,Male,18,1,29,1,1-2 Year,No,37997,53,146,0
2386,Male,56,1,10,1,1-2 Year,Yes,29370,21,155,1
2387,Male,46,1,22,0,1-2 Year,No,55514,45,222,0
2388,Female,76,1,24,0,> 2 Years,Yes,28887,60,74,1
2389,Female,62,1,8,1,1-2 Year,Yes,35353,19,233,1
2390,Female,20,1,47,0,1-2 Year,No,36250,35,95,0
2391,Male,68,1,6,1,> 2 Years,Yes,32615,82,275,1
2392,Male,64,1,7,0,> 2 Years,Yes,26612,14,292,1
2393,Male,54,1,20,1,< 1 Year,No,33985,86,161,0
2394,Male,48,1,17,1,> 2 Years,Yes,38139,103,80,1
2395,Female,28,1,36,1,> 2 Years,Yes,49399,12,109,0
2396,Male,39,1,8,1,> 2 Years,Yes,21272,3,4,1
2397,Male,35,1,13,0,> 2 Years,No,24005,119,124,1
2398,Male,52,1,24,0,> 2 Years,Yes,37408,104,137,1
2399,Female,23,1,46,1,< 1 Year,Yes,38969,96,281,1
2400,Female,20,1,31,1,> 2 Years,Yes,27364,155,68,1
2401,Male,79,1,23,1,> 2 Years,Yes,42380,117,57,1
2402,Male,22,1,17,0,< 1 Year,Yes,45203,153,26,1
2403,Male,26,1,46,1,< 1 Year,Yes,50777,143,91,1
2404,Male,45,0,24,1,1-2 Year,Yes,50741,115,4,1
2405,Female,36,1,43,0,> 2 Years,No,50127,27,21,0
2406,Female,45,1,10,1,< 1 Year,No,20268,15,124,0
2407,Male,44,1,31,0,1-2 Year,Yes,39040,158,209,1
2408,Male,30,1,45,0,> 2 Years,Yes,43825,78,263,1
2409,Female,78,1,20,0,< 1 Year,No,42426,45,233,1
2410,Male,55,1,16,0,> 2 Years,No,48471,92,91,1
2411,Female,60,1,14,0,1-2 Year,No,26711,11,113,1
2412,Male,70,1,3,1,< 1 Year,Yes,48208,78,115,1
2413,Male,38,1,30,1,< 1 Year,No,44507,111,95,0
2414,Male,44,1,18,1,1-2 Year,No,42611,24,196,0
2415,Male,79,1,6,0,< 1 Year,Yes,38725,134,9,1
2416,Female,63,1,20,1,> 2 Years,Yes,35490,33,109,0
2417,Male,23,0,35,1,> 2 Years,Yes,22430,150,286,0
2418,Male,55,0,19,1,> 2 Years,Yes,50235,60,106,0
2419,Male,66,0,26,0,1-2 Year,No,50042,148,61,0
2420,Male,28,1,35,1,1-2 Year,No,40639,11,67,1
2421,Male,64,1,12,0,< 1 Year,Yes,59141,115,247,1
2422,Male,58,1,8,1,1-2 Year,No,27371,35,277,1
2423,Female,70,1,37,0,> 2 Years,Yes,51251,65,268,1
2424,Male,34,1,49,0,1-2 Year,Yes,47013,106,279,1
2425,Male,73,1,10,1,> 2 Years,No,38178,90,145,0
2426,Female,56,1,21,1,> 2 Years,Yes,20831,66,189,1
2427,Male,24,1,49,1,> 2 Years,Yes,51421,133,101,1
2428,Female,47,1,41,0,> 2 Years,Yes,36665,79,116,1
2429,Male,38,1,45,1,1-2 Year,Yes,59716,149,252,1
2430,Female,18,1,42,1,> 2 Years,Yes,40041,14,268,0
2431,Female,42,1,29,1,< 1 Year,Yes,58866,23,247,1
2432,Female,49,1,31,1,1-2 Year,Yes,40932,72,176,0
2433,Female,76,1,40,1,1-2 Year,Yes,27447,47,22,1
2434,Male,74,1,7,0,< 1 Year,Yes,45826,64,237,0
2435,Female,25,1,34,0,1-2 Year,Yes,43131,1,5,0
2436,Male,22,1,34,0,1-2 Year,Yes,46309,42,248,1
2437,Male,47,1,30,1,< 1 Year,Yes,52876,68,243,1
2438,Male,68,1,4,1,> 2 Years,Yes,44550,25,84,1
2439,Male,25,1,41,1,1-2 Year,Yes,53490,116,63,1
2440,Male,66,1,30,0,1-2 Year,Yes,45694,112,204,0
2441,Male,36,1,25,1,1-2 Year,Yes,32921,135,262,1
2442,Male,61,1,14,0,> 2 Years,Yes,34589,135,254,1
2443,Female,76,1,24,1,< 1 Year,Yes,46768,83,64,1
2444,Female,72,1,43,0,1-2 Year,Yes,52415,151,254,0
2445,Male,47,0,31,1,1-2 Year,Yes,59050,118,125,1
2446,Male,32,1,39,1,> 2 Years,Yes,30617,138,53,1
2447,Male,53,0,28,0,1-2 Year,Yes,28528,108,98,0
2448,Male,72,1,25,0,< 1 Year,Yes,34801,119,125,1
2449,Male,61,1,19,1,1-2 Year,No,58043,131,104,0
2450,Male,44,1,4,0,> 2 Years,Yes,35279,72,20,1
2451,Male,30,0,34,1,< 1 Year,Yes,31702,77,131,1
2452,Female,31,1,32,1,> 2 Years,Yes,59951,141,259,0
2453,Male,54,1,25,0,< 1 Year,Yes,58691,112,236,1
2454,Male,71,1,22,1,< 1 Year,Yes,23824,66,162,1
2455,Male,65,1,28,1,< 1 Year,Yes,53959,131,213,1
2456,Male,47,1,18,1,> 2 Years,Yes,59827,63,256,1
2457,Male,56,1,7,1,1-2 Year,Yes,34938,15,186,0
2458,Female,64,1,11,0,< 1 Year,Yes,33543,130,52,1
2459,Male,30,1,42,1,> 2 Years,No,22561,145,140,1
2460,Male,75,1,11,1,< 1 Year,Yes,56097,11,51,1
2461,Female,33,0,9,1,1-2 Year,Yes,22431,5,85,0
2462,Female,61,1,35,0,< 1 Year,No,38756,70,111,1
2463,Female,24,1,37,0,> 2 Years,Yes,22117,67,135,1
2464,Male,65,1,23,0,> 2 Years,Yes,20561,23,115,1
2465,Female,72,1,33,1,> 2 Years,Yes,54655,96,190,1
2466,Male,72,1,1,1,< 1 Year,Yes,24271,63,40,1
2467,Male,44,1,20,1,1-2 Year,Yes,26654,132,110,1
2468,Male,62,1,5,0,1-2 Year,No,35511,29,25,1
2469,Male,78,1,29,0,1-2 Year,No,53160,145,121,1
2470,Male,72,1,26,0,1-2 Year,Yes,53012,85,262,1
2471,Male,52,1,38,1,> 2 Years,Yes,47769,87,219,0
2472,Female,32,1,3,1,< 1 Year,Yes,41415,48,44,0
2473,Female,45,1,21,0,> 2 Years,Yes,28321,53,1,1
2474,Female,52,1,13,1,1-2 Year,No,43112,117,81,1
2475,Male,24,1,31,0,> 2 Years,Yes,32165,1,96,1
2476,Female,79,1,17,1,< 1 Year,Yes,46258,135,169,1
2477,Male,67,0,35,1,< 1 Year,Yes,50580,77,163,1
2478,Female,63,1,23,0,1-2 Year,No,32791,118,164,1
2479,Male,67,1,3,0,> 2 Years,Yes,41228,84,42,1
2480,Female,68,1,45,0,> 2 Years,No,38236,30,202,1
2481,Male,63,1,2,0,< 1 Year,Yes,30781,113,2,1
2482,Female,37,1,3,1,< 1 Year,Yes,27142,116,274,1
2483,Female,49,1,20,1,1-2 Year,Yes,49812,70,163,1
2484,Male,55,1,48,1,1-2 Year,Yes,43741,98,278,1
2485,Male,78,1,44,1,> 2 Years,Yes,41377,99,152,0
2486,Female,57,1,9,0,1-2 Year,Yes,26146,84,32,1
2487,Male,49,0,48,0,1-2 Year,Yes,37285,158,98,1
2488,Female,43,1,4,1,> 2 Years,Yes,21356,97,229,1
2489,Male,75,1,25,1,< 1 Year,Yes,54131,54,266,1
2490,Male,56,1,1,1,> 2 Years,No,45470,88,102,1
2491,Male,37,1,39,1,1-2 Year,No,49499,144,202,1
2492,Male,35,1,12,1,> 2 Years,No,48220,104,171,1
2493,Female,67,1,40,0,< 1 Year,Yes,27432,16,7,1
2494,Male,32,1,40,1,1-2 Year,Yes,38357,27,245,0
2495,Male,69,1,24,1,> 2 Years,Yes,45694,100,77,0
2496,Male,39,1,9,1,1-2 Year,Yes,24336,22,203,1
2497,Male,68,0,46,1,> 2 Years,No,47038,143,136,0
2498,Female,39,1,20,0,> 2 Years,Yes,46844,46,100,1
2499,Female,70,0,5,0,> 2 Years,Yes,35036,129,7,1
2500,Male,38,1,20,1,1-2 Year,No,33351,156,266,1
2501,Female,19,1,21,1,< 1 Year,Yes,51874,100,154,1
2502,Female,57,1,2,1,> 2 Years,No,35025,143,5,0
2503,Male,70,1,21,1,> 2 Years,Yes,43680,57,175,1
2504,Female,60,1,42,1,> 2 Years,Yes,29735,70,263,1
2505,Male,35,1,24,0,1-2 Year,No,36189,20,292,0
2506,Male,40,1,9,0,> 2 Years,No,46815,4,7,1
2507,Female,30,1,39,0,< 1 Year,No,36808,10,298,0
2508,Male,58,1,30,0,> 2 Years,No,31050,7,254,1
2509,Female,26,1,18,1,< 1 Year,No,39680,57,242,0
2510,Female,66,1,44,0,< 1 Year,Yes,31993,134,182,1
2511,Male,24,0,43,0,1-2 Year,Yes,29729,55,262,1
2512,Female,58,1,10,0,> 2 Years,Yes,31579,159,65,1
2513,Male,71,1,45,0,> 2 Years,Yes,37584,64,2,1
2514,Male,18,1,41,1,> 2 Years,Yes,51325,91,67,1
2515,Female,19,1,48,0,< 1 Year,No,28625,13,103,1
2516,Female,21,1,21,1,1-2 Year,Yes,55563,75,226,1
2517,Male,31,1,22,0,< 1 Year,Yes,54733,117,270,0
2518,Male,49,0,17,1,< 1 Year,No,58401,73,249,0
2519,Female,53,1,5,1,< 1 Year,Yes,53436,10,80,1
2520,Female,19,1,6,1,< 1 Year,No,46489,152,128,0
2521,Female,57,1,10,1,1-2 Year,No,27068,99,207,1
2522,Male,67,1,43,0,< 1 Year,Yes,24466,75,41,1
2523,Male,68,1,2,0,1-2 Year,Yes,24960,116,200,1
2524,Male,31,1,7,0,> 2 Years,Yes,55075,129,250,1
2525,Female,37,1,46,0,> 2 Years,Yes,47430,5,130,0
2526,Male,42,1,4,0,> 2 Years,Yes,51536,155,125,1
2527,Male,59,1,37,0,> 2 Years,Yes,59172,7,106,0
2528,Female,66,1,19,1,1-2 Year,No,48609,101,18,1
2529,Male,25,1,28,1,> 2 Years,Yes,57420,1,147,0
2530,Female,45,1,20,0,> 2 Years,Yes,35419,32,165,1
2531,Female,63,1,30,0,< 1 Year,No,30033,145,96,0
2532,Female,38,1,42,1,> 2 Years,Yes,54629,18,89,0
2533,Male,40,1,38,1,1-2 Year,Yes,25129,68,215,1
2534,Male,49,1,2,0,< 1 Year,Yes,53571,49,203,1
2535,Female,25,0,3,0,> 2 Years,Yes,40582,13,149,0
2536,Female,48,1,47,1,> 2 Years,No,59755,69,171,1
2537,Female,54,1,42,0,1-2 Year,Yes,49806,150,35,1
2538,Male,33,1,49,1,< 1 Year,Yes,43312,154,239,0
2539,Female,57,1,39,0,1-2 Year,Yes,53268,68,287,0
2540,Female,59,1,25,0,1-2 Year,Yes,53996,87,234,1
2541,Female,44,1,2,1,> 2 Years,Yes,42924,133,211,1
2542,Female,57,1,39,1,> 2 Years,No,36255,137,138,1
2543,Female,58,1,15,1,> 2 Years,Yes,28111,77,48,1
2544,Female,35,1,3,0,< 1 Year,No,23884,62,255,1
2545,Male,52,1,5,0,1-2 Year,No,40022,73,260,1
2546,Male,66,1,40,1,1-2 Year,Yes,38927,68,168,1
2547,Male,69,1,36,0,1-2 Year,Yes,45963,78,76,1
2548,Male,32,0,40,1,< 1 Year,No,48583,2,237,0
2549,Male,70,1,38,1,1-2 Year,No,48876,95,297,0
2550,Male,44,1,37,0,1-2 Year,Yes,30738,51,171,1
2551,Male,34,1,27,0,1-2 Year,Yes,28383,2,29,1
2552,Male,57,1,5,1,< 1 Year,Yes,33435,64,158,1
2553,Female,19,1,17,1,1-2 Year,Yes,35485,52,29,0
2554,Female,66,1,38,1,> 2 Years,Yes,33559,37,252,1
2555,Male,67,1,45,0,1-2 Year,Yes,34132,66,207,1
2556,Female,48,1,41,1,> 2 Years,Yes,27356,92,290,0
2557,Male,78,1,12,0,> 2 Years,Yes,53540,23,136,1
2558,Male,54,1,42,0,> 2 Years,No,29437,116,117,0
2559,Male,58,1,31,1,< 1 Year,Yes,55780,86,256,1
2560,Male,58,1,33,1,< 1 Year,Yes,54392,60,118,1
2561,Female,51,1,43,0,1-2 Year,Yes,28123,56,88,1
2562,Female,51,1,29,1,> 2 Years,No,56242,120,147,1
2563,Male,68,1,38,1,> 2 Years,Yes,24152,129,75,1
2564,Male,72,1,3,0,1-2 Year,Yes,53287,98,81,1
2565,Male,76,1,38,1,< 1 Year,No,20872,4,156,0
2566,Male,20,1,41,1,1-2 Year,No,34730,41,280,1
2567,Male,34,1,40,1,1-2 Year,Yes,20957,99,166,1
2568,Male,31,1,30,1,> 2 Years,Yes,48164,159,204,1
2569,Female,31,1,47,1,1-2 Year,Yes,39415,133,287,1
2570,Female,63,1,22,1,1-2 Year,Yes,40812,139,48,0
2571,Male,55,1,38,0,< 1 Year,Yes,35395,32,204,1
2572,Female,52,1,32,0,< 1 Year,Yes,57488,111,232,1
2573,Male,18,1,43,1,1-2 Year,Yes,39610,129,259,1
2574,Male,79,1,10,1,1-2 Year,Yes,54335,43,166,0
2575,Male,65,1,32,0,1-2 Year,No,20909,6,285,1
2576,Female,46,1,43,0,> 2 Years,No,38344,92,232,1
2577,Female,21,1,4,1,< 1 Year,Yes,42645,114,108,0
2578,Female,78,1,29,0,1-2 Year,No,47914,11,221,0
2579,Male,50,1,45,1,> 2 Years,No,37769,27,246,0
2580,Female,34,1,8,0,1-2 Year,Yes,34820,76,238,1
2581,Male,45,1,20,1,1-2 Year,Yes,37199,13,218,1
2582,Female,67,0,47,0,1-2 Year,Yes,23784,95,26,1
2583,Male,43,1,7,1,1-2 Year,No,34746,35,30,1
2584,Male,25,1,1,1,< 1 Year,Yes,36705,25,234,1
2585,Male,51,1,25,1,< 1 Year,Yes,57166,36,103,1
2586,Female,76,0,26,0,< 1 Year,Yes,44026,149,124,0
2587,Male,35,1,9,0,> 2 Years,No,53611,112,284,0
2588,Female,48,1,23,0,< 1 Year,Yes,38955,55,150,1
2589,Male,76,1,40,1,> 2 Years,Yes,26594,36,192,1
2590,Female,44,1,2,1,> 2 Years,Yes,28602,156,236,1
2591,Female,33,1,26,0,> 2 Years,Yes,50828,155,175,1
2592,Female,75,1,14,1,> 2 Years,Yes,49822,140,84,0
2593,Male,27,1,44,1,< 1 Year,Yes,59669,26,102,0
2594,Male,57,1,31,1,1-2 Year,Yes,29015,134,175,0
2595,Male,29,1,26,0,> 2 Years,Yes,55268,8,48,0
2596,Female,39,1,49,1,< 1 Year,Yes,34506,75,2,1
2597,Male,33,1,19,1,< 1 Year,Yes,35568,125,279,1
2598,Male,29,1,38,1,< 1 Year,Yes,30578,145,43,0
2599,Male,28,1,5,0,1-2 Year,Yes,56922,143,207,0
2600,Male,37,1,6,1,< 1 Year,Yes,26102,83,101,0
2601,Female,68,1,35,0,1-2 Year,Yes,39723,83,142,1
2602,Male,18,1,16,1,> 2 Years,Yes,47103,74,28,0
2603,Female,44,1,31,1,< 1 Year,No,28860,28,74,1
2604,Male,20,1,18,1,> 2 Years,No,31780,153,6,1
2605,Male,29,1,14,1,< 1 Year,Yes,51664,79,238,1
2606,Male,47,1,25,0,< 1 Year,Yes,26591,80,255,1
2607,Male,26,0,15,1,< 1 Year,No,39314,37,20,0
2608,Male,70,1,26,1,> 2 Years,Yes,58442,155,68,0
2609,Female,78,1,36,1,> 2 Years,No,46177,5,31,1
2610,Male,71,1,11,0,< 1 Year,No,39726,88,178,1
2611,Female,54,1,37,1,< 1 Year,No,59569,104,43,0
2612,Male,18,1,41,1,> 2 Years,Yes,54990,113,89,0
2613,Male,59,1,37,1,> 2 Years,Yes,58401,57,48,1
2614,Female,66,1,7,1,< 1 Year,Yes,49476,127,212,1
2615,Male,21,1,18,0,1-2 Year,Yes,26632,118,233,1
2616,Male,32,1,20,0,> 2 Years,Yes,55369,60,117,1
2617,Male,68,1,2,1,< 1 Year,Yes,39922,32,284,1
2618,Male,44,0,26,1,< 1 Year,Yes,58603,144,121,0
2619,Female,25,1,23,0,< 1 Year,No,56265,109,201,1
2620,Male,77,1,32,1,> 2 Years,Yes,59487,109,249,0
2621,Female,77,0,13,1,< 1 Year,Yes,43880,44,201,1
2622,Female,40,1,13,1,> 2 Years,No,50775,90,39,0
2623,Male,32,1,17,0,> 2 Years,Yes,36650,122,161,1
2624,Female,44,0,25,1,1-2 Year,Yes,39848,69,228,0
2625,Male,48,1,22,1,< 1 Year,No,59680,71,230,0
2626,Female,56,1,27,1,> 2 Years,Yes,23883,120,171,0
2627,Male,64,1,17,1,1-2 Year,No,31859,86,257,1
2628,Female,25,1,26,1,1-2 Year,No,45778,21,206,0
2629,Male,47,1,38,0,> 2 Years,Yes,23847,147,88,1
2630,Male,75,1,14,0,> 2 Years,Yes,21606,52,241,1
2631,Female,72,1,14,0,1-2 Year,Yes,43076,120,146,1
2632,Female,59,1,12,0,1-2 Year,No,26244,39,265,1
2633,Male,35,1,5,1,< 1 Year,Yes,48115,45,249,1
2634,Male,21,1,37,1,> 2 Years,Yes,26788,89,13,1
2635,Female,64,1,4,1,> 2 Years,Yes,43755,141,299,1
2636,Female,60,0,29,0,1-2 Year,No,59488,83,98,1
2637,Female,39,1,25,0,> 2 Years,No,37042,118,43,1
2638,Female,20,1,45,1,> 2 Years,No,34081,108,223,0
2639,Female,32,1,4,1,< 1 Year,Yes,22427,132,159,0
2640,Female,52,1,16,0,> 2 Years,Yes,58890,129,25,1
2641,Male,64,1,2,1,< 1 Year,Yes,46749,111,216,1
2642,Male,55,1,23,0,> 2 Years,No,50366,128,76,0
2643,Female,50,1,4,0,< 1 Year,Yes,24924,60,273,1
2644,Female,31,1,20,0,> 2 Years,Yes,38475,50,156,1
2645,Male,65,1,17,1,1-2 Year,No,30900,87,14,1
2646,Male,18,1,6,0,< 1 Year,Yes,48870,47,201,1
2647,Female,70,1,18,0,< 1 Year,No,54444,17,68,0
2648,Male,66,1,20,0,> 2 Years,Yes,24403,86,69,1
2649,Male,43,1,39,0,< 1 Year,Yes,43908,8,13,1
2650,Male,25,1,45,1,> 2 Years,No,31352,56,85,1
2651,Male,67,1,41,0,1-2 Year,No,48335,7,270,0
2652,Male,33,1,34,1,> 2 Years,Yes,43916,65,146,0
2653,Male,55,0,40,0,1-2 Year,Yes,49145,25,137,0
2654,Male,27,1,46,0,1-2 Year,No,24455,24,234,0
2655,Female,59,1,24,0,< 1 Year,No,57878,114,27,0
2656,Male,54,1,18,0,1-2 Year,No,55893,97,169,0
2657,Female,43,1,30,0,> 2 Years,Yes,57530,96,56,0
2658,Female,45,1,1,0,> 2 Years,Yes,38766,93,44,1
2659,Male,29,1,23,1,< 1 Year,No,49570,65,10,0
2660,Female,37,1,29,1,> 2 Years,Yes,34940,47,70,1
2661,Male,66,1,41,1,< 1 Year,Yes,59006,136,282,1
2662,Female,31,1,41,0,< 1 Year,Yes,28679,157,216,1
2663,Male,63,1,32,1,1-2 Year,Yes,33329,31,41,1
2664,Female,52,1,2,0,< 1 Year,Yes,59740,57,14,1
2665,Female,46,1,48,1,> 2 Years,Yes,36358,135,154,1
2666,Male,29,1,36,1,> 2 Years,Yes,47260,159,100,1
2667,Male,69,1,45,1,< 1 Year,Yes,51672,109,7,1
2668,Female,35,1,17,0,1-2 Year,No,40267,94,165,1
2669,Female,61,1,43,0,> 2 Years,Yes,38375,61,228,1
2670,Male,19,1,2,0,< 1 Year,Yes,55695,76,194,1
2671,Female,19,1,4,0,1-2 Year,No,37828,99,285,0
2672,Male,76,1,44,0,< 1 Year,Yes,30156,10,232,1
2673,Female,34,0,34,0,> 2 Years,Yes,50439,154,119,1
2674,Male,27,1,1,0,> 2 Years,No,23019,69,244,0
2675,Female,35,1,23,1,> 2 Years,No,43923,87,183,0
2676,Male,39,1,6,1,1-2 Year,Yes,40348,73,265,0
2677,Male,36,0,16,1,> 2 Years,No,52302,97,99,0
2678,Male,75,1,2,0,< 1 Year,Yes,21950,37,93,1
2679,Male,70,1,46,0,> 2 Years,Yes,42732,158,146,1
2680,Male,18,1,12,1,< 1 Year,No,21732,97,158,1
2681,Male,41,1,27,1,< 1 Year,Yes,53398,2,77,0
2682,Female,78,0,19,0,> 2 Years,No,55851,42,281,1
2683,Male,53,1,28,1,> 2 Years,Yes,26128,94,154,1
2684,Male,42,1,35,0,> 2 Years,Yes,31528,138,212,1
2685,Male,53,1,43,0,< 1 Year,Yes,34972,31,217,1
2686,Male,79,1,4,1,> 2 Years,Yes,59204,6,138,0
2687,Male,48,1,49,0,> 2 Years,Yes,26280,65,117,1
2688,Male,48,1,49,1,> 2 Years,Yes,46294,130,77,0
2689,Male,19,1,7,0,> 2 Years,No,42317,137,160,0
2690,Male,36,1,37,0,< 1 Year,No,28104,81,54,1
2691,Male,70,1,25,1,1-2 Year,Yes,41598,80,281,1
2692,Male,29,1,41,0,> 2 Years,Yes,23307,80,157,1
2693,Male,27,1,17,1,1-2 Year,Yes,40486,99,163,0
2694,Male,48,1,41,0,< 1 Year,No,26532,59,52,1
2695,Female,62,0,14,1,< 1 Year,Yes,43676,121,116,1
2696,Male,78,1,37,0,> 2 Years,No,51952,141,124,1
2697,Female,79,1,2,1,< 1 Year,No,34139,6,213,0
2698,Male,39,1,24,1,< 1 Year,Yes,29178,153,176,1
2699,Female,40,1,15,0,1-2 Year,Yes,29721,90,263,1
2700,Female,69,1,48,0,< 1 Year,Yes,51220,108,199,1
2701,Male,40,1,33,1,< 1 Year,No,42971,143,85,0
2702,Female,32,1,12,1,< 1 Year,Yes,49147,66,53,1
2703,Male,43,1,19,1,> 2 Years,No,31048,86,239,1
2704,Male,20,1,47,1,< 1 Year,No,39904,42,68,1
2705,Female,40,1,5,1,> 2 Years,Yes,29196,145,173,1
2706,Female,37,0,1,0,> 2 Years,Yes,20040,127,113,1
2707,Male,78,0,43,1,1-2 Year,Yes,23929,23,289,0
2708,Male,62,1,9,1,< 1 Year,Yes,42435,143,185,0
2709,Male,57,1,39,1,> 2 Years,Yes,23175,56,274,1
2710,Male,74,1,34,0,1-2 Year,Yes,58128,65,144,1
2711,Female,56,0,29,1,< 1 Year,No,56099,105,95,0
2712,Male,73,1,49,1,1-2 Year,No,58702,80,48,0
2713,Male,25,1,48,1,< 1 Year,Yes,49587,112,297,1
2714,Male,35,1,48,1,1-2 Year,Yes,40509,87,81,1
2715,Male,58,1,46,1,1-2 Year,Yes,45681,34,157,1
2716,Male,23,1,2,1,1-2 Year,No,59197,144,233,0
2717,Female,44,1,19,1,> 2 Years,Yes,21858,101,273,1
2718,Female,53,1,28,0,> 2 Years,Yes,31258,112,26,1
2719,Female,32,1,35,1,1-2 Year,Yes,51975,12,79,0
2720,Male,54,1,40,1,1-2 Year,Yes,34640,87,159,1
2721,Female,75,1,48,0,> 2 Years,No,42078,72,49,0
